number_of_snps	CellType
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
3	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
3	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
4	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
0	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
1	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
4	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
2	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
