number_of_snps	CellType
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
4	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
4	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
5	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
4	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
4	A673-ENCODE
1	A673-ENCODE
4	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
5	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
4	A673-ENCODE
5	A673-ENCODE
2	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
5	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
4	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
3	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
3	A673-ENCODE
1	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
2	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
0	A673-ENCODE
0	A673-ENCODE
1	A673-ENCODE
