CellType	name	number_of_snps	OR
CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016	0.497	3	6.036217303822938
CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016	0.533	2	3.7523452157598496
CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016	0.507	5	9.861932938856016
CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016	0.49	4	8.16326530612245
CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	0.56	5	8.928571428571427
CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016	0.504	6	11.904761904761905
CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	0.517	7	13.539651837524177
CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016	0.47	6	12.765957446808512
CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016	0.494	4	8.097165991902834
CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016	0.521	4	7.677543186180422
CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016	0.486	5	10.2880658436214
CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.51	1	1.9607843137254901
CD14-positive_monocyte-ENCODE	0.875	6	6.857142857142857
CD14-positive_monocyte-Novakovic2016	0.487	3	6.160164271047228
CD14-positive_monocytes-Roadmap	0.749	4	5.34045393858478
dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	0.511	6	11.741682974559687
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017	0.524	4	7.633587786259541
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017	0.613	7	11.419249592169658
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017	0.534	3	5.617977528089887
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017	0.519	5	9.633911368015413
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017	0.602	4	6.644518272425249
HAP1	0.884	6	6.787330316742081
microglia	0.389	11	28.27763496143959
THP_pmaLPS_ATAC_0h	0.396	3	7.575757575757575
THP_pmaLPS_ATAC_120h	0.408	2	4.901960784313726
THP_pmaLPS_ATAC_12h	0.427	2	4.68384074941452
THP_pmaLPS_ATAC_1h	0.419	2	4.773269689737471
THP_pmaLPS_ATAC_24h	0.392	3	7.653061224489796
THP_pmaLPS_ATAC_2h	0.403	3	7.444168734491314
THP_pmaLPS_ATAC_48h	0.492	2	4.065040650406504
THP_pmaLPS_ATAC_6h	0.377	3	7.957559681697613
THP_pmaLPS_ATAC_72h	0.393	2	5.089058524173028
THP_pmaLPS_ATAC_96h	0.388	2	5.154639175257731
THP-1_macrophage-VanBortle2017	0.406	5	12.31527093596059
THP-1_monocyte-VanBortle2017	0.431	3	6.960556844547564
THP1_LPS_4hr-Engreitz	0.403	3	7.444168734491314
THP1-Engreitz	0.396	2	5.05050505050505
U937_LPS_4hr-Engreitz	0.393	4	10.178117048346056
U937-Engreitz	0.367	5	13.623978201634877
