CellType	name	number_of_snps	OR
A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	0.845	2	2.366863905325444
adrenal_gland_fetal-ENCODE	0.821	5	6.090133982947625
adrenal_gland-ENCODE	0.479	2	4.175365344467641
bipolar_neuron_from_iPSC-ENCODE	1.122	4	3.5650623885918
body_of_pancreas-ENCODE	1.157	4	3.4572169403630078
breast_epithelium-ENCODE	0.54	3	5.555555555555555
coronary_artery_smooth_muscle_cell-Miller2016	0.419	2	4.773269689737471
epithelial_cell_of_prostate-ENCODE	0.582	2	3.436426116838488
H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	0.932	1	1.0729613733905579
H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.684	1	1.461988304093567
H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.923	2	2.1668472372697725
H1-hESC-Roadmap	0.854	3	3.51288056206089
H7	0.739	1	1.3531799729364005
H9-Roadmap	0.99	2	2.0202020202020203
HCT116-ENCODE	0.796	1	1.2562814070351758
HT29	0.946	3	3.171247357293869
induced_pluripotent_stem_cell-ENCODE	1.005	3	2.985074626865672
iPS_DF_19.11_Cell_Line-Roadmap	0.72	1	1.3888888888888888
keratinocyte-Roadmap	0.682	2	2.9325513196480935
large_intestine_fetal-Roadmap	0.867	6	6.920415224913495
LNCAP	0.669	3	4.484304932735426
LoVo	1.157	6	5.185825410544512
mammary_epithelial_cell-Roadmap	0.823	1	1.2150668286755772
MCF-7-ENCODE	0.809	2	2.472187886279357
MCF10A_treated_with_TAM24hr-Ji2017	0.858	2	2.331002331002331
MCF10A-Ji2017	0.755	2	2.6490066225165565
MDA-MB-231	0.966	0	0
muscle_of_trunk_fetal-Roadmap	1.017	3	2.9498525073746316
ovary-Roadmap	0.984	4	4.065040650406504
Panc1-ENCODE	0.764	2	2.6178010471204187
pancreas-Roadmap	0.75	2	2.6666666666666665
PC-9-ENCODE	0.941	3	3.1880977683315623
sigmoid_colon-ENCODE	0.361	0	0
SK-N-SH-ENCODE	0.473	2	4.2283298097251585
skeletal_muscle_myoblast-Roadmap	0.618	4	6.472491909385114
small_intestine_fetal-Roadmap	0.923	6	6.500541711809317
stomach_fetal-Roadmap	1.11	5	4.504504504504504
stomach-Roadmap	0.691	4	5.788712011577425
thyroid_gland-ENCODE	0.437	2	4.576659038901602
transverse_colon-ENCODE	0.452	3	6.6371681415929205
trophoblast_cell-ENCODE	0.936	4	4.273504273504273
uterus-ENCODE	1.025	4	3.9024390243902443
