CellType	name	number_of_snps	OR
A673-ENCODE	1.096	3	2.7372262773722627
adipose_tissue-ENCODE	0.576	5	8.680555555555555
brite_adipose-Loft2014	0.55	1	1.8181818181818181
cardiac_muscle_cell-ENCODE	0.666	2	3.003003003003003
coronary_artery-ENCODE	0.537	2	3.7243947858472994
endothelial_cell_of_umbilical_vein-Roadmap	0.948	1	1.0548523206751055
gastrocnemius_medialis-ENCODE	1.013	2	1.974333662388944
H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	1.05	5	4.761904761904762
heart_ventricle-ENCODE	0.412	2	4.8543689320388355
HeLa-S3-Roadmap	0.728	0	0
hepatocyte-ENCODE	0.817	4	4.8959608323133414
HepG2-Roadmap	0.853	4	4.6893317702227435
liver-ENCODE	0.52	2	3.846153846153846
muscle_of_leg_fetal-Roadmap	1.102	3	2.722323049001815
myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.867	3	3.4602076124567476
NCCIT	0.416	2	4.8076923076923075
osteoblast-ENCODE	0.877	2	2.280501710376283
placenta-Roadmap	1.031	1	0.9699321047526674
psoas_muscle-Roadmap	0.893	2	2.2396416573348263
spinal_cord_fetal-ENCODE	1.264	5	3.9556962025316453
white_adipose-Loft2014	0.579	2	3.4542314335060453
