number_of_snps	CellType
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
