number_of_snps	CellType
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
