CellType	name	number_of_snps	OR
CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016	0.225	0	0
CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016	0.248	0	0
CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016	0.246	0	0
CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016	0.284	0	0
CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	0.275	0	0
CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016	0.241	0	0
CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	0.216	2	9.25925925925926
CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016	0.204	2	9.803921568627452
CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016	0.224	1	4.464285714285714
CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016	0.248	0	0
CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016	0.248	1	4.032258064516129
CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.243	0	0
CD14-positive_monocyte-ENCODE	0.396	0	0
CD14-positive_monocyte-Novakovic2016	0.23	0	0
CD14-positive_monocytes-Roadmap	0.353	0	0
dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	0.243	0	0
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017	0.216	0	0
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017	0.292	1	3.4246575342465757
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017	0.269	0	0
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017	0.25	1	4
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017	0.283	1	3.53356890459364
HAP1	0.418	2	4.784688995215311
microglia	0.165	4	24.242424242424242
THP_pmaLPS_ATAC_0h	0.193	1	5.181347150259067
THP_pmaLPS_ATAC_120h	0.211	1	4.739336492890995
THP_pmaLPS_ATAC_12h	0.19	1	5.2631578947368425
THP_pmaLPS_ATAC_1h	0.201	1	4.975124378109452
THP_pmaLPS_ATAC_24h	0.198	1	5.05050505050505
THP_pmaLPS_ATAC_2h	0.19	1	5.2631578947368425
THP_pmaLPS_ATAC_48h	0.221	1	4.524886877828054
THP_pmaLPS_ATAC_6h	0.183	1	5.46448087431694
THP_pmaLPS_ATAC_72h	0.221	1	4.524886877828054
THP_pmaLPS_ATAC_96h	0.198	1	5.05050505050505
THP-1_macrophage-VanBortle2017	0.174	2	11.49425287356322
THP-1_monocyte-VanBortle2017	0.2	0	0
THP1_LPS_4hr-Engreitz	0.17	2	11.76470588235294
THP1-Engreitz	0.216	1	4.62962962962963
U937_LPS_4hr-Engreitz	0.204	3	14.705882352941178
U937-Engreitz	0.177	3	16.949152542372882
