CellType	name	number_of_snps	OR
A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	0.387	0	0
adrenal_gland_fetal-ENCODE	0.384	4	10.416666666666666
adrenal_gland-ENCODE	0.25	1	4
bipolar_neuron_from_iPSC-ENCODE	0.62	1	1.6129032258064517
body_of_pancreas-ENCODE	0.599	3	5.008347245409015
breast_epithelium-ENCODE	0.263	1	3.8022813688212924
coronary_artery_smooth_muscle_cell-Miller2016	0.232	1	4.310344827586206
epithelial_cell_of_prostate-ENCODE	0.262	2	7.633587786259541
H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	0.445	0	0
H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.344	0	0
H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.41	1	2.4390243902439024
H1-hESC-Roadmap	0.406	1	2.463054187192118
H7	0.323	0	0
H9-Roadmap	0.481	1	2.079002079002079
HCT116-ENCODE	0.366	0	0
HT29	0.493	1	2.028397565922921
induced_pluripotent_stem_cell-ENCODE	0.474	2	4.219409282700422
iPS_DF_19.11_Cell_Line-Roadmap	0.374	0	0
keratinocyte-Roadmap	0.327	2	6.116207951070336
large_intestine_fetal-Roadmap	0.405	2	4.938271604938271
LNCAP	0.309	2	6.472491909385114
LoVo	0.58	1	1.7241379310344829
mammary_epithelial_cell-Roadmap	0.386	1	2.5906735751295336
MCF-7-ENCODE	0.384	1	2.6041666666666665
MCF10A_treated_with_TAM24hr-Ji2017	0.373	1	2.680965147453083
MCF10A-Ji2017	0.383	1	2.6109660574412534
MDA-MB-231	0.482	0	0
muscle_of_trunk_fetal-Roadmap	0.502	2	3.9840637450199203
ovary-Roadmap	0.474	3	6.329113924050633
Panc1-ENCODE	0.37	1	2.7027027027027026
pancreas-Roadmap	0.407	1	2.4570024570024573
PC-9-ENCODE	0.456	1	2.1929824561403506
sigmoid_colon-ENCODE	0.163	0	0
SK-N-SH-ENCODE	0.204	0	0
skeletal_muscle_myoblast-Roadmap	0.295	2	6.779661016949153
small_intestine_fetal-Roadmap	0.459	1	2.178649237472767
stomach_fetal-Roadmap	0.565	1	1.7699115044247788
stomach-Roadmap	0.311	1	3.215434083601286
thyroid_gland-ENCODE	0.213	1	4.694835680751174
transverse_colon-ENCODE	0.223	2	8.968609865470851
trophoblast_cell-ENCODE	0.436	1	2.293577981651376
uterus-ENCODE	0.517	2	3.8684719535783363
