number_of_snps	CellType
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
3	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
4	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
3	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
3	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
0	CD34-positive_mobilized-Roadmap
3	CD34-positive_mobilized-Roadmap
1	CD34-positive_mobilized-Roadmap
2	CD34-positive_mobilized-Roadmap
