CellType	name	number_of_snps	OR
CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016	0.5	4	8
CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016	0.534	3	5.617977528089887
CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016	0.588	3	5.1020408163265305
CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016	0.524	6	11.450381679389313
CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	0.572	6	10.48951048951049
CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016	0.543	5	9.208103130755063
CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	0.483	3	6.211180124223603
CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016	0.495	3	6.0606060606060606
CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016	0.48	5	10.416666666666668
CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016	0.539	5	9.276437847866418
CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016	0.524	3	5.7251908396946565
CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.468	3	6.41025641025641
CD14-positive_monocyte-ENCODE	0.938	4	4.264392324093817
CD14-positive_monocyte-Novakovic2016	0.534	4	7.49063670411985
CD14-positive_monocytes-Roadmap	0.849	3	3.53356890459364
dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	0.554	2	3.6101083032490973
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017	0.53	2	3.773584905660377
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017	0.69	4	5.797101449275363
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017	0.592	2	3.3783783783783785
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017	0.547	2	3.6563071297989027
dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017	0.569	2	3.5149384885764503
HAP1	0.939	8	8.519701810436635
microglia	0.406	1	2.463054187192118
THP_pmaLPS_ATAC_0h	0.445	2	4.49438202247191
THP_pmaLPS_ATAC_120h	0.455	4	8.79120879120879
THP_pmaLPS_ATAC_12h	0.36	2	5.555555555555555
THP_pmaLPS_ATAC_1h	0.415	3	7.228915662650603
THP_pmaLPS_ATAC_24h	0.374	2	5.347593582887701
THP_pmaLPS_ATAC_2h	0.385	2	5.194805194805195
THP_pmaLPS_ATAC_48h	0.481	3	6.237006237006237
THP_pmaLPS_ATAC_6h	0.39	3	7.692307692307692
THP_pmaLPS_ATAC_72h	0.42	4	9.523809523809524
THP_pmaLPS_ATAC_96h	0.416	7	16.826923076923077
THP-1_macrophage-VanBortle2017	0.443	3	6.772009029345372
THP-1_monocyte-VanBortle2017	0.468	3	6.41025641025641
THP1_LPS_4hr-Engreitz	0.41	4	9.75609756097561
THP1-Engreitz	0.418	2	4.784688995215311
U937_LPS_4hr-Engreitz	0.422	2	4.739336492890995
U937-Engreitz	0.374	0	0
