CellType	name	number_of_snps	OR
A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	0.838	5	5.966587112171838
adrenal_gland_fetal-ENCODE	0.913	8	8.762322015334064
adrenal_gland-ENCODE	0.474	3	6.329113924050633
bipolar_neuron_from_iPSC-ENCODE	1.253	9	7.1827613727055075
body_of_pancreas-ENCODE	1.184	8	6.756756756756757
breast_epithelium-ENCODE	0.615	5	8.130081300813009
coronary_artery_smooth_muscle_cell-Miller2016	0.458	7	15.283842794759824
epithelial_cell_of_prostate-ENCODE	0.6	4	6.666666666666667
H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	0.981	10	10.193679918450561
H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.751	3	3.9946737683089215
H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.86	4	4.651162790697675
H1-hESC-Roadmap	0.914	10	10.940919037199125
H7	0.736	7	9.51086956521739
H9-Roadmap	1.032	8	7.751937984496124
HCT116-ENCODE	0.881	3	3.4052213393870603
HT29	1.03	4	3.883495145631068
induced_pluripotent_stem_cell-ENCODE	1.091	9	8.249312557286894
iPS_DF_19.11_Cell_Line-Roadmap	0.749	9	12.016021361815755
keratinocyte-Roadmap	0.737	4	5.4274084124830395
large_intestine_fetal-Roadmap	0.92	4	4.3478260869565215
LNCAP	0.639	6	9.389671361502348
LoVo	1.256	4	3.1847133757961785
mammary_epithelial_cell-Roadmap	0.781	2	2.560819462227913
MCF-7-ENCODE	0.815	5	6.134969325153374
MCF10A_treated_with_TAM24hr-Ji2017	0.891	5	5.611672278338945
MCF10A-Ji2017	0.813	4	4.920049200492005
MDA-MB-231	1.005	4	3.9800995024875627
muscle_of_trunk_fetal-Roadmap	1.101	5	4.541326067211626
ovary-Roadmap	1.056	10	9.469696969696969
Panc1-ENCODE	0.798	7	8.771929824561402
pancreas-Roadmap	0.805	3	3.7267080745341614
PC-9-ENCODE	0.991	5	5.045408678102927
sigmoid_colon-ENCODE	0.33	3	9.09090909090909
SK-N-SH-ENCODE	0.499	4	8.016032064128256
skeletal_muscle_myoblast-Roadmap	0.641	3	4.6801872074882995
small_intestine_fetal-Roadmap	0.957	10	10.449320794148381
stomach_fetal-Roadmap	1.153	7	6.071118820468343
stomach-Roadmap	0.69	4	5.797101449275363
thyroid_gland-ENCODE	0.461	5	10.845986984815617
transverse_colon-ENCODE	0.484	3	6.198347107438017
trophoblast_cell-ENCODE	0.978	5	5.112474437627812
uterus-ENCODE	1.119	6	5.361930294906166
