CellType	name	number_of_snps	OR
A673-ENCODE	1.065	11	10.328638497652582
adipose_tissue-ENCODE	0.599	4	6.67779632721202
brite_adipose-Loft2014	0.592	6	10.135135135135135
cardiac_muscle_cell-ENCODE	0.781	5	6.402048655569782
coronary_artery-ENCODE	0.564	7	12.411347517730498
endothelial_cell_of_umbilical_vein-Roadmap	0.918	4	4.357298474945534
gastrocnemius_medialis-ENCODE	1.075	7	6.511627906976744
H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	1.108	6	5.415162454873646
heart_ventricle-ENCODE	0.471	3	6.369426751592357
HeLa-S3-Roadmap	0.826	2	2.4213075060532687
hepatocyte-ENCODE	0.879	9	10.238907849829351
HepG2-Roadmap	0.881	5	5.675368898978434
liver-ENCODE	0.517	2	3.8684719535783363
muscle_of_leg_fetal-Roadmap	1.184	9	7.601351351351352
myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.906	4	4.415011037527593
NCCIT	0.447	1	2.237136465324385
osteoblast-ENCODE	0.924	6	6.4935064935064934
placenta-Roadmap	1.028	5	4.863813229571984
psoas_muscle-Roadmap	0.923	8	8.66738894907909
spinal_cord_fetal-ENCODE	1.357	11	8.10611643330877
white_adipose-Loft2014	0.663	4	6.033182503770739
